"18","UWCNF_20","1036","xanthomendoza",NA,2002,"PIXE",0.2043,0.713,NA,2.12,0.1157,0.0826,502,6.13,NA,70.4,NA,9.61,7.68,1.57,1567,39.7,NA,NA,1.67,6.02,2.07,4470,12.8,231,5.83,58.9,4340,9.95,7.17,0.027,6.784,117,"40.47165","-110.9195"
"19","UWCNF_19","1034","rhizoplaca",NA,2002,"PIXE",1.2346,0.293,NA,0.9,NA,0.00617,87.9,1.83,NA,19.8,NA,1.89,0.75,0.85,321,4.88,NA,NA,0.39,68.2,0.24,634,19.9,41.9,1.43,4.77,324,0.8,0.81,0.178,7.661,142.5,"40.37552","-111.2926"
"20","UWCNF_10","982","rhizoplaca",NA,2002,"PIXE",5.059,0.1779,NA,1.28,0.024,0.037,1438,3.26,NA,158,NA,17.5,9.23,6.3,5395,44.1,NA,NA,8.84,14.8,1.31,6565,42.4,534,30.1,74.7,97.4,2.8,4.54,0.084,10.1,145,"40.40203","-111.6442"
"21","UWCNF_19","1035","xanthomendoza",NA,2002,"PIXE",0.0998,0.422,NA,1.6,0.0717,0.0662,253,0.75,NA,38.4,NA,3.31,1.75,2.63,790,45.1,NA,NA,1.19,2.63,0.51,1422,7.87,110,4.65,33,1442,5.96,7.04,0.0797,7.182,147.5,"40.37552","-111.2926"
"22","UWCNF_23","1044","rhizoplaca",NA,2002,"PIXE",1.8009,0.2053,NA,1.11,0.0455,0.0814,438,2.72,NA,62.4,NA,5.83,2.67,4.28,973,16.4,NA,NA,1.48,9.76,1.67,2226,32.9,160,6.04,22.9,77.5,1.56,8.98,0.187,6.081,160,"39.99835","-112.3794"
"23","UWCNF_14","1029","xanthomendoza",NA,2002,"PIXE",0.9502,0.7846,NA,2.18,0.1591,0.1721,822,2.77,NA,80.3,NA,7.49,5,8.83,1796,92.1,NA,NA,3.11,13,1.45,4967,33.1,236,6.82,86.6,1192,22.6,10.3,0.102,7.61,163.8,"40.19807","-111.4001"
"24","UWCNF_13","1027","xanthomendoza",NA,2002,"PIXE",0.2025,0.8136,NA,2.52,0.1609,0.1567,557,1.51,NA,70.9,NA,6.68,3.23,7.12,1548,278,NA,NA,2.83,4.7,1.59,3470,16.3,240,7.49,63.6,1112,12.5,15.9,0.112,6.45,177.5,"39.8921","-111.6192"
"25","UWCNF_16","1028","xanthomendoza",NA,2002,"PIXE",0.2732,0.7254,NA,3.19,0.0948,0.1421,525,1.94,NA,64,NA,6.87,2.41,6.82,1774,62.1,NA,NA,1.63,2.34,0.75,2775,17.2,229,6.03,80.3,1055,14.2,12.9,0.085,7.747,190,"40.02768","-111.2794"
"26","UWCNF_18","1032","xanthomendoza",NA,2002,"PIXE",0.2197,0.7136,NA,2.76,0.115,0.143,1632,2.96,NA,145,NA,14.7,6.8,8.49,3185,120,NA,NA,2.34,21.8,1.99,18487,31.8,657,18.9,81.4,1137,9.53,22.3,0.104,4.848,191.3,"40.30217","-111.0125"
"27","UWCNF_9","983","xanthomendoza",NA,2002,"PIXE",0.1794,0.689,NA,4.09,0.1503,0.169,649,2.16,NA,101,NA,11,5.66,8.6,2735,92,NA,NA,4.37,11.5,1.71,3194,14.3,214,14.5,175,1171,11.6,13.1,0.049,12.8,206.3,"40.39097","-111.6774"
